Descripción nivel 1,Variación anual,Producto Interno Bruto (PIB),Id concepto,Id Trimestre
Producto interno bruto,,1.20E+14,129,200501
Producto interno bruto,,1.25E+14,129,200502
Producto interno bruto,,1.29E+14,129,200503
Producto interno bruto,,1.41E+14,129,200504
Producto interno bruto,"634,395,453,522,422",1.27E+14,129,200601
Producto interno bruto,"53,044,347,119,736",1.32E+14,129,200602
Producto interno bruto,"7,669,143,309,972",1.39E+14,129,200603
Producto interno bruto,"741,621,550,581,795",1.52E+14,129,200604
Producto interno bruto,"681,140,307,777,858",1.36E+14,129,200701
Producto interno bruto,"686,321,577,202,976",1.41E+14,129,200702
Producto interno bruto,"684,105,394,863,964",1.48E+14,129,200703
Producto interno bruto,"647,410,566,475,706",1.62E+13,129,200704
Producto interno bruto,"513,967,316,915,047",1.43E+14,129,200801
Producto interno bruto,"479,893,348,713,693",1.48E+14,129,200802
Producto interno bruto,"333,720,257,772,783",1.53E+14,129,200803
Producto interno bruto,"0,351640210716646",1.62E+14,129,200804
Producto interno bruto,"0,244145299212008",1.43E+14,129,200901
Producto interno bruto,"0,657215697792089",1.49E+14,129,200902
Producto interno bruto,"0,485959742168086",1.54E+13,129,200903
Producto interno bruto,"298,551,820,083,039",1.67E+14,129,200904
Producto interno bruto,"364,651,985,488,684",1.48E+14,129,201001
Producto interno bruto,"465,603,305,332,837",1.56E+14,129,201002
Producto interno bruto,"410,817,916,588,956",1.60E+14,129,201003
Producto interno bruto,"543,426,002,274,476",1.76E+14,129,201004
Producto interno bruto,"683,098,820,166,508",1.58E+14,129,201101
Producto interno bruto,"668,472,134,706,282",1.66E+14,129,201102
Producto interno bruto,"786,838,819,591,787",1.73E+13,129,201103
Producto interno bruto,"644,102,692,172,178",1.87E+13,129,201104
Producto interno bruto,"594,780,695,302,318",1.68E+14,129,201201
Producto interno bruto,"495,320,446,525,313",1.74E+14,129,201202
Producto interno bruto,"245,624,991,548,363",1.77E+14,129,201203
Producto interno bruto,"2,613,143,958,654",1.92E+13,129,201204
Producto interno bruto,"264,252,615,931,609",1.72E+14,129,201301
Producto interno bruto,"533,660,515,150,048",1.84E+14,129,201302
Producto interno bruto,"608,270,287,223,936",1.88E+14,129,201303
Producto interno bruto,"625,195,276,925,811",2.04E+14,129,201304
Producto interno bruto,"64,426,916,056,157",1.83E+14,129,201401
Producto interno bruto,"34,138,329,895,843",1.90E+14,129,201402
Producto interno bruto,"425,689,034,400,251",1.96E+14,129,201403
Producto interno bruto,"405,720,254,493,548",2.13E+14,129,201404
Producto interno bruto,"291,383,540,250,462",1.89E+14,129,201501
Producto interno bruto,"34,944,304,476,641",1.96E+14,129,201502
Producto interno bruto,"375,327,432,044,089",2.03E+14,129,201503
Producto interno bruto,"177,656,491,033,933",2.16E+14,129,201504
Producto interno bruto,"228,461,061,896,393",1.93E+14,129,201601
Producto interno bruto,"204,538,235,986,261",2.00E+13,129,201602
Producto interno bruto,"148,319,764,630,512",2.06E+14,129,201603
Producto interno bruto,"25,210,033,903,255",2.22E+14,129,201604
Producto interno bruto,"10,197,652,438,872",1.95E+14,129,201701
Producto interno bruto,"126,727,876,452,181",2.03E+14,129,201702
Producto interno bruto,"169,251,189,114,634",2.10E+14,129,201703
Producto interno bruto,"142,840,577,725,503",2.25E+14,129,201704
Producto interno bruto,"161,171,366,297,518",1.98E+13,129,201801
Producto interno bruto,"277,581,397,529,634",2.09E+14,129,201802
Producto interno bruto,"287,632,859,422,518",2.16E+13,129,201803
Producto interno bruto,"290,851,177,277,595",2.31E+14,129,201804
Producto interno bruto,"350,195,728,602,441",2.05E+14,129,201901
Producto interno bruto,"299,547,037,244,249",2.15E+14,129,201902
Producto interno bruto,"317,408,253,097,102",2.23E+14,129,201903
Producto interno bruto,"310,148,137,876,348",2.39E+14,129,201904
Producto interno bruto,"0,787282660406827",2.07E+14,129,202001
Producto interno bruto,"-16,527,440,653,792",1.79E+13,129,202002
Producto interno bruto,"-87,759,759,560,687",2.03E+14,129,202003
Producto interno bruto,"-36,367,402,025,928",2.30E+14,129,202004
Producto interno bruto,"0,886353478028791",2.09E+14,129,202101
Producto interno bruto,"180,502,502,981,091",2.12E+14,129,202102
Producto interno bruto,"135,109,491,292,556",2.30E+14,129,202103
Producto interno bruto,"108,203,702,445,675",2.55E+14,129,202104
