AAAA;MM;DD;FECHA;FECHA_ORD;REGION;PIB
2020;10;1;2020-10-01;737699;antioquia;32705.152056857478
2020;10;2;2020-10-02;737700;antioquia;32707.707414155593
2020;10;3;2020-10-03;737701;antioquia;32710.26277145371
2020;10;4;2020-10-04;737702;antioquia;32712.818128752057
2020;10;5;2020-10-05;737703;antioquia;32715.37348605017
2020;10;6;2020-10-06;737704;antioquia;32717.92884334852
2020;10;7;2020-10-07;737705;antioquia;32720.484200646635
2020;10;8;2020-10-08;737706;antioquia;32723.03955794475
2020;10;9;2020-10-09;737707;antioquia;32725.5949152431
2020;10;10;2020-10-10;737708;antioquia;32728.150272541214
2020;10;11;2020-10-11;737709;antioquia;32730.70562983933
2020;10;12;2020-10-12;737710;antioquia;32733.260987137677
2020;10;13;2020-10-13;737711;antioquia;32735.816344435792
2020;10;14;2020-10-14;737712;antioquia;32738.371701733908
2020;10;15;2020-10-15;737713;antioquia;32740.927059032256
2020;10;16;2020-10-16;737714;antioquia;32743.48241633037
2020;10;17;2020-10-17;737715;antioquia;32746.03777362872
2020;10;18;2020-10-18;737716;antioquia;32748.593130926834
2020;10;19;2020-10-19;737717;antioquia;32751.14848822495
2020;10;20;2020-10-20;737718;antioquia;32753.703845523298
2020;10;21;2020-10-21;737719;antioquia;32756.259202821413
2020;10;22;2020-10-22;737720;antioquia;32758.81456011953
2020;10;23;2020-10-23;737721;antioquia;32761.369917417876
2020;10;24;2020-10-24;737722;antioquia;32763.92527471599
2020;10;25;2020-10-25;737723;antioquia;32766.48063201434
2020;10;26;2020-10-26;737724;antioquia;32769.035989312455
2020;10;27;2020-10-27;737725;antioquia;32771.59134661057
2020;10;28;2020-10-28;737726;antioquia;32774.14670390892
2020;10;29;2020-10-29;737727;antioquia;32776.702061207034
2020;10;30;2020-10-30;737728;antioquia;32779.25741850515
2020;10;31;2020-10-31;737729;antioquia;32781.8127758035
2020;11;1;2020-11-01;737730;antioquia;32784.36813310161
2020;11;2;2020-11-02;737731;antioquia;32786.92349039996
2020;11;3;2020-11-03;737732;antioquia;32789.478847698076
2020;11;4;2020-11-04;737733;antioquia;32792.03420499619
2020;11;5;2020-11-05;737734;antioquia;32794.58956229454
2020;11;6;2020-11-06;737735;antioquia;32797.144919592654
2020;11;7;2020-11-07;737736;antioquia;32799.70027689077
2020;11;8;2020-11-08;737737;antioquia;32802.25563418912
2020;11;9;2020-11-09;737738;antioquia;32804.81099148723
2020;11;10;2020-11-10;737739;antioquia;32807.36634878535
2020;11;11;2020-11-11;737740;antioquia;32809.921706083696
2020;11;12;2020-11-12;737741;antioquia;32812.47706338181
2020;11;13;2020-11-13;737742;antioquia;32815.03242068016
2020;11;14;2020-11-14;737743;antioquia;32817.587777978275
2020;11;15;2020-11-15;737744;antioquia;32820.14313527639
2020;11;16;2020-11-16;737745;antioquia;32822.69849257474
2020;11;17;2020-11-17;737746;antioquia;32825.25384987285
2020;11;18;2020-11-18;737747;antioquia;32827.80920717097
2020;11;19;2020-11-19;737748;antioquia;32830.36456446932
2020;11;20;2020-11-20;737749;antioquia;32832.91992176743
2020;11;21;2020-11-21;737750;antioquia;32835.47527906578
2020;11;22;2020-11-22;737751;antioquia;32838.030636363896
2020;11;23;2020-11-23;737752;antioquia;32840.58599366201
2020;11;24;2020-11-24;737753;antioquia;32843.14135096036
2020;11;25;2020-11-25;737754;antioquia;32845.696708258474
2020;11;26;2020-11-26;737755;antioquia;32848.25206555659
2020;11;27;2020-11-27;737756;antioquia;32850.80742285494
2020;11;28;2020-11-28;737757;antioquia;32853.36278015305
2020;11;29;2020-11-29;737758;antioquia;32855.91813745117
2020;11;30;2020-11-30;737759;antioquia;32858.473494749516
2020;12;1;2020-12-01;737760;antioquia;32861.02885204763
2020;12;2;2020-12-02;737761;antioquia;32863.58420934598
2020;12;3;2020-12-03;737762;antioquia;32866.139566644095
2020;12;4;2020-12-04;737763;antioquia;32868.69492394221
2020;12;5;2020-12-05;737764;antioquia;32871.25028124056
2020;12;6;2020-12-06;737765;antioquia;32873.80563853867
2020;12;7;2020-12-07;737766;antioquia;32876.36099583679
2020;12;8;2020-12-08;737767;antioquia;32878.91635313514
2020;12;9;2020-12-09;737768;antioquia;32881.47171043325
2020;12;10;2020-12-10;737769;antioquia;32884.0270677316
2020;12;11;2020-12-11;737770;antioquia;32886.582425029716
2020;12;12;2020-12-12;737771;antioquia;32889.13778232783
2020;12;13;2020-12-13;737772;antioquia;32891.69313962618
2020;12;14;2020-12-14;737773;antioquia;32894.248496924294
2020;12;15;2020-12-15;737774;antioquia;32896.80385422241
2020;12;16;2020-12-16;737775;antioquia;32899.35921152076
2020;12;17;2020-12-17;737776;antioquia;32901.91456881887
2020;12;18;2020-12-18;737777;antioquia;32904.46992611699
2020;12;19;2020-12-19;737778;antioquia;32907.025283415336
2020;12;20;2020-12-20;737779;antioquia;32909.58064071345
2020;12;21;2020-12-21;737780;antioquia;32912.1359980118
2020;12;22;2020-12-22;737781;antioquia;32914.691355309915
2020;12;23;2020-12-23;737782;antioquia;32917.24671260803
2020;12;24;2020-12-24;737783;antioquia;32919.80206990638
2020;12;25;2020-12-25;737784;antioquia;32922.35742720449
2020;12;26;2020-12-26;737785;antioquia;32924.91278450261
2020;12;27;2020-12-27;737786;antioquia;32927.46814180096
2020;12;28;2020-12-28;737787;antioquia;32930.02349909907
2020;12;29;2020-12-29;737788;antioquia;32932.57885639742
2020;12;30;2020-12-30;737789;antioquia;32935.134213695535
2020;12;31;2020-12-31;737790;antioquia;32937.68957099365
2021;1;1;2021-01-01;737791;antioquia;32940.244928292
2021;1;2;2021-01-02;737792;antioquia;32942.800285590114
2021;1;3;2021-01-03;737793;antioquia;32945.35564288823
2021;1;4;2021-01-04;737794;antioquia;32947.91100018658
2021;1;5;2021-01-05;737795;antioquia;32950.46635748469
2021;1;6;2021-01-06;737796;antioquia;32953.02171478304
2021;1;7;2021-01-07;737797;antioquia;32955.577072081156
2021;1;8;2021-01-08;737798;antioquia;32958.13242937927
2021;1;9;2021-01-09;737799;antioquia;32960.68778667762
2021;1;10;2021-01-10;737800;antioquia;32963.243143975735
2021;1;11;2021-01-11;737801;antioquia;32965.79850127385
2021;1;12;2021-01-12;737802;antioquia;32968.3538585722
2021;1;13;2021-01-13;737803;antioquia;32970.90921587031
2021;1;14;2021-01-14;737804;antioquia;32973.46457316843
2021;1;15;2021-01-15;737805;antioquia;32976.01993046678
2021;1;16;2021-01-16;737806;antioquia;32978.57528776489
2021;1;17;2021-01-17;737807;antioquia;32981.13064506324
2021;1;18;2021-01-18;737808;antioquia;32983.686002361355
2021;1;19;2021-01-19;737809;antioquia;32986.24135965947
2021;1;20;2021-01-20;737810;antioquia;32988.79671695782
2021;1;21;2021-01-21;737811;antioquia;32991.352074255934
2021;1;22;2021-01-22;737812;antioquia;32993.90743155405
2021;1;23;2021-01-23;737813;antioquia;32996.4627888524
2021;1;24;2021-01-24;737814;antioquia;32999.01814615051
2021;1;25;2021-01-25;737815;antioquia;33001.57350344886
2021;1;26;2021-01-26;737816;antioquia;33004.128860746976
2021;1;27;2021-01-27;737817;antioquia;33006.68421804509
2021;1;28;2021-01-28;737818;antioquia;33009.23957534344
2021;1;29;2021-01-29;737819;antioquia;33011.794932641555
2021;1;30;2021-01-30;737820;antioquia;33014.35028993967
2021;1;31;2021-01-31;737821;antioquia;33016.90564723802
2021;2;1;2021-02-01;737822;antioquia;33019.46100453613
2021;2;2;2021-02-02;737823;antioquia;33022.01636183425
2021;2;3;2021-02-03;737824;antioquia;33024.5717191326
2021;2;4;2021-02-04;737825;antioquia;33027.12707643071
2021;2;5;2021-02-05;737826;antioquia;33029.68243372906
2021;2;6;2021-02-06;737827;antioquia;33032.237791027175
2021;2;7;2021-02-07;737828;antioquia;33034.79314832529
2021;2;8;2021-02-08;737829;antioquia;33037.34850562364
2021;2;9;2021-02-09;737830;antioquia;33039.903862921754
2021;2;10;2021-02-10;737831;antioquia;33042.45922021987
2021;2;11;2021-02-11;737832;antioquia;33045.01457751822
2021;2;12;2021-02-12;737833;antioquia;33047.56993481633
2021;2;13;2021-02-13;737834;antioquia;33050.12529211468
2021;2;14;2021-02-14;737835;antioquia;33052.680649412796
2021;2;15;2021-02-15;737836;antioquia;33055.23600671091
2021;2;16;2021-02-16;737837;antioquia;33057.79136400926
2021;2;17;2021-02-17;737838;antioquia;33060.346721307375
2021;2;18;2021-02-18;737839;antioquia;33062.90207860549
2021;2;19;2021-02-19;737840;antioquia;33065.45743590384
2021;2;20;2021-02-20;737841;antioquia;33068.01279320195
2021;2;21;2021-02-21;737842;antioquia;33070.56815050007
2021;2;22;2021-02-22;737843;antioquia;33073.12350779842
2021;2;23;2021-02-23;737844;antioquia;33075.67886509653
2021;2;24;2021-02-24;737845;antioquia;33078.23422239488
2021;2;25;2021-02-25;737846;antioquia;33080.789579692995
2021;2;26;2021-02-26;737847;antioquia;33083.34493699111
2021;2;27;2021-02-27;737848;antioquia;33085.90029428946
2021;2;28;2021-02-28;737849;antioquia;33088.455651587574
2021;3;1;2021-03-01;737850;antioquia;33091.01100888569
2021;3;2;2021-03-02;737851;antioquia;33093.56636618404
2021;3;3;2021-03-03;737852;antioquia;33096.12172348215
2021;3;4;2021-03-04;737853;antioquia;33098.6770807805
2021;3;5;2021-03-05;737854;antioquia;33101.232438078616
2021;3;6;2021-03-06;737855;antioquia;33103.78779537673
2021;3;7;2021-03-07;737856;antioquia;33106.34315267508
2021;3;8;2021-03-08;737857;antioquia;33108.898509973194
2021;3;9;2021-03-09;737858;antioquia;33111.45386727131
2021;3;10;2021-03-10;737859;antioquia;33114.00922456966
2021;3;11;2021-03-11;737860;antioquia;33116.56458186777
2021;3;12;2021-03-12;737861;antioquia;33119.11993916612
2021;3;13;2021-03-13;737862;antioquia;33121.67529646424
2021;3;14;2021-03-14;737863;antioquia;33124.23065376235
2021;3;15;2021-03-15;737864;antioquia;33126.7860110607
